Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
Samsung,4.5,31778,1196,"₹18,890",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) WQXGA Display,QUALCOMM SM6375,8 MP Primary Camera | 5 MP Front,
Lenovo,4.3,1143,96,"₹9,999",4 GB RAM,64 GB ROM,22.86 cm (9 Inch) HD Display,Mediatek G80,8 MP Primary Camera | 2 MP Front,1 Year Warranty on Tablet including Battery
Lenovo,4.2,2059,151,"₹18,099",6 GB RAM,128 GB ROM,26.95 cm (10.61 inch) Display,Qualcomm Snapdragon 695,13 MP Primary Camera | 8 MP Front,1 Year Brand Warranty
REDMI,4.3,944,51,"₹10,999",4.0 GB RAM,128 GB ROM,22.1 cm (8.7 Inch) HD Display,MediaTek Helio G85,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Samsung,4.5,3054,161,"₹32,949",6 GB RAM,128 GB ROM,27.69 cm (10.9 inch) WQXGA Display,Exynos 1380,8.0 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase
OPPO,4.5,105,6,"₹15,999",6.0 GB RAM,128 GB ROM,27.81 cm (10.95 inch) WUXGA+ Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Warranty on Handset and 6 Months Warranty on Accessories
REDMI,4.4,4481,326,"₹23,999",8.0 GB RAM,128 GB ROM,30.73 cm (12.1 inch) Quad HD Display,Snapdragon 7s Gen 2,8.0 MP Primary Camera | 8 MP Front,1 Year Domestic Warranty
Infinix,4.4,2159,249,"₹19,999",4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G99,8 MP Primary Camera | 8 MP Front,"1 Year Warranty on Tablet, 6 Months Warranty on Accessories"
Xiaomi,4.5,846,64,"₹30,999",12 GB RAM,256 GB ROM,28.37 cm (11.17 inch) WQXGA+ Display,Snapdragon 7+ Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Brand Warranty
Lenovo,4.3,5315,361,"₹14,999",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
